id,username,text,keywords,date,location
1189688636582834176,lvaroGu64703525,#renunciapiñera #piñerarenuncia #piñeradictador #deletepiñera en Pontificia Universidad Católica de Chile https://t.co/Jt4Hw05pAD,['#RenunciaPiñera'],2019-10-30 23:40:48,Planeta Tierra 
1189673199438618626,carlosalamirocl,"@camila_vallejo @Hugo_Gutierrez_ Y como paletia me falto el ##
#renunciapiñera https://t.co/XzKLVTC7N1",['#RenunciaPiñera'],2019-10-30 22:39:28,"Viña del Mar, Chile"
1189668955255910401,Issabellilla,Ojo avisan que :ahora subieron el cobro por giro en la cuenta rut a 480 pesos . #NoMasAbusos #Condonardeudas de los #chilenos #Bancos #abusadores #usureros nunca pierden son los que tienen a #Chile en la ruina de los chilenos #RenunciaPiñera,['#RenunciaPiñera'],2019-10-30 22:22:36,
1189666615882928128,floresnatalie,"Lo mejor que vi hoy , cuídate mucho amigue ❤️ #EstoNoSeAcaba #RenunciaPiñera https://t.co/SvFvBbpyps",['#RenunciaPiñera'],2019-10-30 22:13:18,Chile 
1189679959759114241,jotaorosve,"No te cansas de dejar en ridículo el cargo de presidente y a nuestro país. Siempre superando tus propias chambonadas. Por eso :
#RenunciaPiñera
#PiñeraVergüenzaMundial 
#PiñeraVergüenzaMundial",['#RenunciaPiñera'],2019-10-30 23:06:20,"Santiago, Chile"
1189666098607775744,sam_todosaben,"@mcubillossigall @mcubillossigall te queda poca pega en la moneda, no te estreses.
#RenunciaPiñera",['#RenunciaPiñera'],2019-10-30 22:11:15,
1189676062227259392,Valentinita99x,"Osorno a las 17:30 preparándose para la marcha
#RenunciaPiñera https://t.co/GDANmPu0vf",['#RenunciaPiñera'],2019-10-30 22:50:51,"Temuco, Chile"
1189692439143026689,ivatob24,Continúan riéndose #Renunciapiñera ya se cayó el modelo se refundara chile!! #renunciamañalich https://t.co/y8eVwkKFlo,['#RenunciaPiñera'],2019-10-30 23:55:55,Chile
1189683643519778819,orellanadiaz,Una medida que no tiene nada que ver con las demandas sociales de este movimiento. El estado gastará plata subsidiando a las concesionarias! Dando prioridad a lo no prioritario #RenunciaPiñera https://t.co/NXEKjYPMwv,['#RenunciaPiñera'],2019-10-30 23:20:58,Santiago de Chile
1189678972554100736,DustinMatta,Vecin@s de Independencia #Marchan pacificamemte por las grandes avenidas de la Comuna de Independencia #RenunciaPiñera #NuevaConstitucion #AsambleaConstituyente #NoMasAbusos #30Años https://t.co/jKyjf8Rdm0,['#RenunciaPiñera'],2019-10-30 23:02:24,"Independencia, Stgo. de Chile."
